temp,hum
2021-1-1-2-47,28.7,66.0
2021-1-1-2-48,28.7,66.0
2021-1-1-2-49,28.7,66.6
2021-1-1-2-50,28.7,66.6
2021-1-1-2-51,28.8,66.2
2021-1-1-2-52,28.9,66.2
2021-1-1-2-53,28.9,66.2
2021-1-1-2-54,28.9,66.2
2021-1-1-2-55,29.0,66.0
2021-1-1-2-56,29.1,65.5
2021-1-1-2-57,29.1,65.5
2021-1-1-2-58,29.1,65.1
2021-1-1-2-59,29.0,65.6
2021-1-1-3-0,29.1,65.2
2021-1-1-3-1,29.0,65.5
2021-1-1-3-2,29.1,65.4
2021-1-1-3-3,29.1,65.2
2021-1-1-3-4,29.1,65.4
2021-1-1-3-5,29.1,65.5
2021-1-1-3-6,29.2,65.3
2021-1-1-3-7,29.3,64.9
2021-1-1-3-8,29.4,64.70001
2021-1-1-3-9,29.4,64.20001
2021-1-1-3-10,29.4,64.5
2021-1-1-3-11,29.5,64.1
2021-1-1-3-12,29.5,64.1
2021-1-1-3-13,29.5,64.0
2021-1-1-3-14,29.5,64.0
2021-1-1-3-15,29.5,64.20001
2021-1-1-3-16,29.4,64.1
2021-1-1-3-17,29.4,64.4
2021-1-1-3-18,29.3,64.5
2021-1-1-3-19,29.3,64.4
2021-1-1-3-20,29.3,64.8
2021-1-1-3-21,29.3,64.6
2021-1-1-3-22,29.2,64.5
2021-1-1-3-23,29.2,64.6
2021-1-1-3-24,29.1,64.70001
2021-1-1-3-25,29.1,64.6
2021-1-1-3-26,29.0,64.70001
2021-1-1-3-27,28.9,65.0
2021-1-1-3-28,28.9,65.3
2021-1-1-3-29,28.9,65.5
2021-1-1-3-30,28.8,65.70001
2021-1-1-3-31,28.7,65.9
2021-1-1-3-32,28.7,65.8
2021-1-1-3-33,28.6,66.0
2021-1-1-3-34,28.6,65.9
2021-1-1-3-35,28.5,66.1
2021-1-1-3-36,28.5,66.1
2021-1-1-3-37,28.5,66.5
2021-1-1-3-38,28.4,66.5
2021-1-1-3-39,28.3,66.5
